Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0805,41,-17.491,0,top
C2,0.1u,C_0805,46.547,-21.916,0,top
C3,0.1u,C_0805,27.822,-17.491,180,top
C4,0.1u,C_0805,41,-32.866,0,top
C5,0.1u,C_0805,24,-26.891,180,top
C6,4.7u,C_0805,19.132,-20.446,180,top
C7,1u,C_0805,24,-21.066,180,top
C8,4.7n,C_0805,3,-18.38,-90,top
C9,1u,C_0805,81.824,-18.5,90,top
C10,1u,C_0805,90.206,-18.5,90,top
C11,1u,C_0805,9.5,-20.446,180,top
F1,Polyfuse_Small,F_0805,14.4,-21.3264,90,top
J1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,14.8,0.05,0,top
J3,DF14-20P-1.25H,DF14-20P-1.25H,75.9,-27.55,180,top
J4,ai03_ud,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3.5,-25.5,-90,top
R1,22,R_0805,13.1,-17.0592,-90,top
R2,22,R_0805,15.7,-17.0592,-90,top
R3,10k,R_0805,24,-23.916,0,top
R4,10k,R_0805,46.547,-27.016,0,top
R5,5.1k,R_0805,17.9,-17.0592,-90,top
R6,5.1k,R_0805,10.9,-17.0592,-90,top
R7,1M,R_0805,6,-18.38,90,top
SW1,SW_PUSH,SW_SPST_TL3342,55.154,-23.968,180,top
U1,ATmega32U4,ATMEGA32U4,35.5,-25,-135,top
U2,USBLC6-2SC6,USBLC6-2SC6,14.4,-11.8,90,top
U3,XC6206P332MR,SOT-23,86.1928,-18.5,90,top
X1,16mhz,Resonator_SMD_muRata_CSTNExxV-3Pin-p1.2,27.127472,-31.755472,135,top
